State,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific
Pennsylvania,12779559,6245344,6534215,263.3,5946.6,296.19999999999993,8.299999999999995,90.40000000000002,0.8
Puerto Rico,3583073,1713860,1869213,7725.9000000000015,52.00000000000001,3.800000000000001,0.3,3.500000000000001,0.1
Rhode Island,1053661,510388,543273,34.7,425.70000000000005,15.0,1.5,11.5,0.1
South Carolina,4777576,2322409,2455167,201.7,2630.5,1644.3000000000002,16.099999999999998,34.500000000000014,2.2000000000000006
South Dakota,843190,423477,419713,158.49999999999997,5321.400000000001,37.199999999999996,902.9000000000001,42.10000000000002,3.6000000000000005
Tennessee,6499615,3167756,3331859,306.49999999999994,8242.3,689.1999999999998,23.899999999999995,58.0,2.3000000000000003
Texas,26538614,13171316,13367298,8573.799999999996,14573.700000000006,1589.1999999999998,97.2,235.69999999999993,14.199999999999985
Utah,2903379,1459229,1444150,252.6,2482.8999999999996,13.899999999999999,76.49999999999999,24.599999999999994,9.399999999999999
Vermont,626604,308573,318031,22.199999999999996,1323.1000000000001,9.999999999999998,5.7,12.3,0.30000000000000004
Virginia,8256630,4060948,4195682,645.4000000000003,9595.200000000004,2473.2999999999993,32.400000000000034,270.29999999999995,4.8
Washington,6985464,3487725,3497739,529.9000000000001,3007.0000000000005,48.1,79.3,97.4,11.4
West Virginia,1851420,913631,937789,61.0,5201.900000000001,125.8,7.6999999999999975,21.30000000000001,0.9999999999999999
Wisconsin,5742117,2851385,2890732,249.70000000000002,6459.999999999999,109.00000000000003,189.19999999999996,86.20000000000005,1.1
Wyoming,579679,295561,284118,190.10000000000002,2002.9,12.8,32.1,15.2,1.0
